date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new
2020-05-06T00:00:00.000Z,15,268,249,88,61,119,70,1,2020,0.1326732673267327,5142,3666,1439,300,241,0,489,3
2020-05-07T00:00:00.000Z,13,256,244,84,60,112,70,1,2020,0.1267326732673267,5419,3508,1423,302,242,0,490,3
2020-05-08T00:00:00.000Z,13,244,240,78,53,113,64,6,2020,0.1207920792079208,4641,3366,1365,303,248,0,492,3
2020-05-09T00:00:00.000Z,10,248,245,78,50,120,64,3,2020,0.1227722772277228,3106,3441,1204,304,251,0,493,5
2020-05-10T00:00:00.000Z,14,246,229,74,51,121,66,4,2020,0.1217821782178218,6097,3307,1202,308,255,0,496,4
2020-05-11T00:00:00.000Z,9,230,214,69,54,107,60,5,2020,0.1138613861386139,5289,3010,1208,309,260,0,499,3
2020-05-12T00:00:00.000Z,10,220,203,65,52,103,56,3,2020,0.1089108910891089,5416,2927,1054,310,263,0,501,3
2020-05-13T00:00:00.000Z,10,204,201,61,48,95,53,3,2020,0.100990099009901,5383,2868,968,312,266,0,503,2
2020-05-14T00:00:00.000Z,6,199,190,61,43,95,52,2,2020,0.09851485148514852,5779,2706,917,313,268,0,504,2
2020-05-15T00:00:00.000Z,1,190,186,61,43,86,52,0,2020,0.09405940594059406,5004,2660,814,313,268,0,504,0
2020-05-16T00:00:00.000Z,4,184,184,60,40,84,51,3,2020,0.09108910891089109,4369,2594,780,313,271,0,504,0
2020-05-17T00:00:00.000Z,10,187,175,55,38,94,45,4,2020,0.09257425742574257,6530,2481,756,314,275,0,506,3
2020-05-18T00:00:00.000Z,3,173,162,52,42,79,43,3,2020,0.08564356435643565,5996,2264,725,315,278,0,507,1
2020-05-19T00:00:00.000Z,7,167,161,51,43,73,40,2,2020,0.08267326732673268,6127,2247,603,315,280,0,509,3
2020-05-20T00:00:00.000Z,4,160,147,46,40,74,41,1,2020,0.07920792079207921,6060,2189,570,315,281,0,509,1
2020-05-21T00:00:00.000Z,8,152,142,47,31,74,37,0,2020,0.07524752475247524,6343,2135,514,315,281,0,509,2
2020-05-22T00:00:00.000Z,5,144,141,46,32,66,37,0,2020,0.07128712871287128,5198,2050,455,315,281,0,509,0
2020-05-23T00:00:00.000Z,3,144,143,46,33,65,37,0,2020,0.07128712871287128,4603,2061,400,315,281,0,509,0
2020-05-24T00:00:00.000Z,0,142,127,43,36,63,34,1,2020,0.0702970297029703,6907,1980,390,315,282,0,509,1
2020-05-25T00:00:00.000Z,8,133,125,41,32,60,29,2,2020,0.06584158415841584,6306,1911,345,315,284,0,510,2
2020-05-26T00:00:00.000Z,3,125,120,36,37,52,32,0,2020,0.06188118811881188,6265,1934,283,315,284,0,510,1
2020-05-27T00:00:00.000Z,5,123,117,40,37,46,36,2,2020,0.06089108910891089,6312,1919,276,316,286,1,512,5
2020-05-28T00:00:00.000Z,7,123,116,36,37,50,34,1,2020,0.06089108910891089,5390,1881,273,316,287,0,512,0
2020-05-29T00:00:00.000Z,5,120,120,39,36,45,37,0,2020,0.0594059405940594,4548,1983,241,317,287,0,513,4
2020-05-30T00:00:00.000Z,5,126,125,35,43,48,33,0,2020,0.06237623762376238,4772,1966,241,317,287,0,513,0
2020-05-31T00:00:00.000Z,5,129,121,35,47,47,31,0,2020,0.06386138613861386,7132,1991,245,317,287,0,514,3
2020-06-01T00:00:00.000Z,12,129,113,32,45,52,29,3,2020,0.06386138613861386,6362,2044,224,317,290,0,514,1
2020-06-02T00:00:00.000Z,13,123,116,29,44,50,29,2,2020,0.06089108910891089,6370,2126,202,318,292,0,515,2
2020-06-03T00:00:00.000Z,8,122,118,28,42,52,25,1,2020,0.06039603960396039,6293,2169,225,318,293,0,515,1
2020-06-04T00:00:00.000Z,11,129,117,30,37,62,23,0,2020,0.06386138613861386,6701,2268,227,318,293,0,518,4
2020-06-05T00:00:00.000Z,8,123,113,29,41,53,23,1,2020,0.06089108910891089,5538,2358,228,318,294,0,518,0
2020-06-06T00:00:00.000Z,9,118,116,29,42,47,21,4,2020,0.05841584158415842,4954,2394,239,318,298,0,521,5
2020-06-07T00:00:00.000Z,12,126,122,29,42,55,23,2,2020,0.06237623762376238,7550,2474,247,319,300,0,525,5
2020-06-08T00:00:00.000Z,16,137,123,30,46,61,23,0,2020,0.06782178217821783,6393,2595,262,319,300,0,527,2
2020-06-09T00:00:00.000Z,10,133,120,31,42,60,24,1,2020,0.06584158415841584,6648,2726,259,321,301,0,530,3
2020-06-10T00:00:00.000Z,24,142,125,32,45,65,24,1,2020,0.0702970297029703,6816,2884,283,322,302,0,532,2
2020-06-11T00:00:00.000Z,13,137,126,35,38,64,24,0,2020,0.06782178217821783,6839,2978,321,322,302,0,536,6
2020-06-12T00:00:00.000Z,13,140,128,35,43,62,25,0,2020,0.06930693069306931,5678,3088,338,323,302,0,539,3
2020-06-13T00:00:00.000Z,11,137,134,35,45,57,26,1,2020,0.06782178217821783,5054,3167,359,324,303,0,539,2
2020-06-14T00:00:00.000Z,15,147,136,31,48,68,23,2,2020,0.07277227722772277,7569,3248,360,324,305,0,540,1
2020-06-15T00:00:00.000Z,23,159,137,36,47,76,25,0,2020,0.07871287128712871,6581,3321,393,327,305,0,547,7
2020-06-16T00:00:00.000Z,21,157,138,38,43,76,26,1,2020,0.07772277227722772,6824,3557,401,330,306,0,550,4
2020-06-17T00:00:00.000Z,23,162,153,36,49,77,29,0,2020,0.0801980198019802,6514,3738,428,333,306,0,552,3
2020-06-18T00:00:00.000Z,37,190,164,40,43,107,28,0,2020,0.09405940594059406,6784,3932,471,336,306,0,557,6
2020-06-19T00:00:00.000Z,29,194,184,39,47,108,29,1,2020,0.09603960396039604,5734,4143,491,337,307,0,561,6
2020-06-20T00:00:00.000Z,33,218,214,41,50,127,28,1,2020,0.1079207920792079,5022,4219,508,337,308,0,565,4
2020-06-21T00:00:00.000Z,38,251,217,45,59,147,29,0,2020,0.1242574257425743,7744,4324,520,338,308,0,571,9
2020-06-22T00:00:00.000Z,23,237,203,43,56,138,29,1,2020,0.1173267326732673,6877,4604,537,339,309,0,573,5
2020-06-23T00:00:00.000Z,20,221,195,40,52,129,26,2,2020,0.1094059405940594,6529,4951,561,340,311,0,575,4
2020-06-24T00:00:00.000Z,34,226,199,45,45,136,27,3,2020,0.1118811881188119,6553,5311,606,341,314,0,580,6
2020-06-25T00:00:00.000Z,26,221,198,44,56,121,28,4,2020,0.1094059405940594,6644,5719,633,343,318,0,585,5
2020-06-26T00:00:00.000Z,46,241,222,45,57,139,26,3,2020,0.1193069306930693,5490,5983,673,343,321,0,591,8
2020-06-27T00:00:00.000Z,26,244,227,40,56,148,22,3,2020,0.1207920792079208,4985,6304,691,343,324,0,592,1
2020-06-28T00:00:00.000Z,47,272,232,39,67,166,22,2,2020,0.1346534653465347,7517,6540,689,346,326,0,596,4
