date,serious_critical_new,medium_new,easy_new
2021-04-15T00:00:00.000Z,4,11,13
2021-04-16T00:00:00.000Z,8,7,20
2021-04-17T00:00:00.000Z,7,7,19
2021-04-18T00:00:00.000Z,14,8,21
2021-04-19T00:00:00.000Z,12,14,11
2021-04-20T00:00:00.000Z,5,7,16
2021-04-21T00:00:00.000Z,8,6,13
2021-04-22T00:00:00.000Z,5,10,14
2021-04-23T00:00:00.000Z,8,2,10
2021-04-24T00:00:00.000Z,3,5,8
2021-04-25T00:00:00.000Z,5,5,14
2021-04-26T00:00:00.000Z,13,4,11
2021-04-27T00:00:00.000Z,4,2,8
2021-04-28T00:00:00.000Z,3,7,10
2021-04-29T00:00:00.000Z,4,10,12
2021-04-30T00:00:00.000Z,6,10,6
2021-05-01T00:00:00.000Z,5,2,7
2021-05-02T00:00:00.000Z,4,11,7
2021-05-03T00:00:00.000Z,6,6,13
2021-05-04T00:00:00.000Z,4,4,11
2021-05-05T00:00:00.000Z,3,3,7
2021-05-06T00:00:00.000Z,2,4,5
2021-05-07T00:00:00.000Z,2,1,14
2021-05-08T00:00:00.000Z,4,5,5
2021-05-09T00:00:00.000Z,1,4,8
2021-05-10T00:00:00.000Z,1,2,7
2021-05-11T00:00:00.000Z,3,1,9
2021-05-12T00:00:00.000Z,0,6,6
2021-05-13T00:00:00.000Z,1,1,10
2021-05-14T00:00:00.000Z,3,3,6
2021-05-15T00:00:00.000Z,2,4,4
2021-05-16T00:00:00.000Z,4,1,3
2021-05-17T00:00:00.000Z,1,1,4
2021-05-18T00:00:00.000Z,2,4,7
2021-05-19T00:00:00.000Z,2,2,8
2021-05-20T00:00:00.000Z,5,0,9
2021-05-21T00:00:00.000Z,0,4,5
2021-05-22T00:00:00.000Z,1,1,1
2021-05-23T00:00:00.000Z,2,0,5
2021-05-24T00:00:00.000Z,2,2,5
2021-05-25T00:00:00.000Z,0,3,9
2021-05-26T00:00:00.000Z,0,3,5
2021-05-27T00:00:00.000Z,2,2,4
2021-05-28T00:00:00.000Z,1,1,8
2021-05-29T00:00:00.000Z,0,2,2
2021-05-30T00:00:00.000Z,1,0,6
2021-05-31T00:00:00.000Z,1,1,2
2021-06-01T00:00:00.000Z,3,1,10
2021-06-02T00:00:00.000Z,1,0,6
2021-06-03T00:00:00.000Z,1,2,1
2021-06-04T00:00:00.000Z,1,2,5
2021-06-05T00:00:00.000Z,1,2,4
2021-06-06T00:00:00.000Z,3,1,7
2021-06-07T00:00:00.000Z,0,1,4
2021-06-08T00:00:00.000Z,1,1,3
2021-06-09T00:00:00.000Z,0,0,5
2021-06-10T00:00:00.000Z,1,0,5
2021-06-11T00:00:00.000Z,0,1,1
2021-06-12T00:00:00.000Z,0,0,4
2021-06-13T00:00:00.000Z,0,1,7
2021-06-14T00:00:00.000Z,1,2,1
2021-06-15T00:00:00.000Z,0,0,2
2021-06-16T00:00:00.000Z,0,2,6
2021-06-17T00:00:00.000Z,1,0,3
2021-06-18T00:00:00.000Z,0,2,3
2021-06-19T00:00:00.000Z,0,0,5
2021-06-20T00:00:00.000Z,2,1,3
2021-06-21T00:00:00.000Z,0,2,3
2021-06-22T00:00:00.000Z,3,1,6
2021-06-23T00:00:00.000Z,0,1,6
2021-06-24T00:00:00.000Z,0,4,2
2021-06-25T00:00:00.000Z,1,0,3
2021-06-26T00:00:00.000Z,1,0,6
2021-06-27T00:00:00.000Z,1,4,9
2021-06-28T00:00:00.000Z,0,0,9
2021-06-29T00:00:00.000Z,0,3,11
2021-06-30T00:00:00.000Z,5,1,5
2021-07-01T00:00:00.000Z,1,4,6
2021-07-02T00:00:00.000Z,3,2,7
2021-07-03T00:00:00.000Z,4,2,10
2021-07-04T00:00:00.000Z,4,5,13
2021-07-05T00:00:00.000Z,5,3,12
2021-07-06T00:00:00.000Z,7,2,17
2021-07-07T00:00:00.000Z,9,4,9
2021-07-08T00:00:00.000Z,7,6,9
2021-07-09T00:00:00.000Z,5,5,9
2021-07-10T00:00:00.000Z,5,3,8
2021-07-11T00:00:00.000Z,13,3,17
2021-07-12T00:00:00.000Z,7,4,27
2021-07-13T00:00:00.000Z,6,9,21
2021-07-14T00:00:00.000Z,10,10,16
2021-07-15T00:00:00.000Z,11,9,26
2021-07-16T00:00:00.000Z,6,16,17
2021-07-17T00:00:00.000Z,16,10,15
2021-07-18T00:00:00.000Z,17,16,26
2021-07-19T00:00:00.000Z,11,16,30
2021-07-20T00:00:00.000Z,12,13,47
2021-07-21T00:00:00.000Z,13,6,32
2021-07-22T00:00:00.000Z,17,13,43
2021-07-23T00:00:00.000Z,21,8,35
2021-07-24T00:00:00.000Z,16,13,22
2021-07-25T00:00:00.000Z,22,21,50
2021-07-26T00:00:00.000Z,39,18,55
2021-07-27T00:00:00.000Z,45,14,51
2021-07-28T00:00:00.000Z,25,27,61
2021-07-29T00:00:00.000Z,33,25,69
2021-07-30T00:00:00.000Z,41,17,41
2021-07-31T00:00:00.000Z,39,21,58
2021-08-01T00:00:00.000Z,29,34,95
2021-08-02T00:00:00.000Z,45,40,75
2021-08-03T00:00:00.000Z,53,43,87
2021-08-04T00:00:00.000Z,49,31,76
2021-08-05T00:00:00.000Z,63,42,103
2021-08-06T00:00:00.000Z,55,28,110
2021-08-07T00:00:00.000Z,80,36,70
2021-08-08T00:00:00.000Z,87,52,88
2021-08-09T00:00:00.000Z,76,42,100
2021-08-10T00:00:00.000Z,77,52,103
2021-08-11T00:00:00.000Z,78,64,109
2021-08-12T00:00:00.000Z,89,54,99
2021-08-13T00:00:00.000Z,104,43,109
2021-08-14T00:00:00.000Z,86,49,115
2021-08-15T00:00:00.000Z,108,60,131
2021-08-16T00:00:00.000Z,86,63,117
2021-08-17T00:00:00.000Z,100,66,127
2021-08-18T00:00:00.000Z,107,55,134
2021-08-19T00:00:00.000Z,85,56,129
2021-08-20T00:00:00.000Z,98,54,136
2021-08-21T00:00:00.000Z,101,45,121
2021-08-22T00:00:00.000Z,110,73,141
2021-08-23T00:00:00.000Z,115,67,132
2021-08-24T00:00:00.000Z,102,60,130
2021-08-25T00:00:00.000Z,108,68,127
2021-08-26T00:00:00.000Z,97,51,113
2021-08-27T00:00:00.000Z,100,56,122
2021-08-28T00:00:00.000Z,85,61,120
2021-08-29T00:00:00.000Z,118,58,137
2021-08-30T00:00:00.000Z,106,65,127
2021-08-31T00:00:00.000Z,95,63,138
2021-09-01T00:00:00.000Z,95,62,160
2021-09-02T00:00:00.000Z,83,60,133
2021-09-03T00:00:00.000Z,80,52,141
2021-09-04T00:00:00.000Z,76,50,129
2021-09-05T00:00:00.000Z,82,50,132
2021-09-06T00:00:00.000Z,58,42,133
2021-09-07T00:00:00.000Z,82,49,128
2021-09-08T00:00:00.000Z,66,35,132
2021-09-09T00:00:00.000Z,72,56,190
2021-09-10T00:00:00.000Z,89,49,128
