date,amount
2020-08-31T00:00:00.000Z,1502
2020-09-01T00:00:00.000Z,1022
2020-09-02T00:00:00.000Z,1420
2020-09-03T00:00:00.000Z,1832
2020-09-04T00:00:00.000Z,1221
2020-09-05T00:00:00.000Z,905
2020-09-06T00:00:00.000Z,2425
2020-09-07T00:00:00.000Z,1611
2020-09-08T00:00:00.000Z,1456
2020-09-09T00:00:00.000Z,1487
2020-09-10T00:00:00.000Z,2002
2020-09-11T00:00:00.000Z,1795
2020-09-12T00:00:00.000Z,1279
2020-09-13T00:00:00.000Z,3317
2020-09-14T00:00:00.000Z,2428
2020-09-15T00:00:00.000Z,2304
2020-09-16T00:00:00.000Z,2822
2020-09-17T00:00:00.000Z,3766
2020-09-18T00:00:00.000Z,2877
2020-09-19T00:00:00.000Z,1463
2020-09-20T00:00:00.000Z,2509
2020-09-21T00:00:00.000Z,4740
2020-09-22T00:00:00.000Z,3565
2020-09-23T00:00:00.000Z,3880
2020-09-24T00:00:00.000Z,4682
2020-09-25T00:00:00.000Z,4217
2020-09-26T00:00:00.000Z,2426
2020-09-27T00:00:00.000Z,5775
2020-09-28T00:00:00.000Z,2203
2020-09-29T00:00:00.000Z,5907
2020-09-30T00:00:00.000Z,5307
2020-10-01T00:00:00.000Z,5845
2020-10-02T00:00:00.000Z,5666
2020-10-03T00:00:00.000Z,3542
2020-10-04T00:00:00.000Z,8224
2020-10-05T00:00:00.000Z,7056
2020-10-06T00:00:00.000Z,6536
2020-10-07T00:00:00.000Z,4974
2020-10-08T00:00:00.000Z,4868
2020-10-09T00:00:00.000Z,5166
2020-10-10T00:00:00.000Z,3850
2020-10-11T00:00:00.000Z,7675
2020-10-12T00:00:00.000Z,5593
2020-10-13T00:00:00.000Z,5820
2020-10-14T00:00:00.000Z,5906
2020-10-15T00:00:00.000Z,5498
2020-10-16T00:00:00.000Z,3539
2020-10-17T00:00:00.000Z,2534
2020-10-18T00:00:00.000Z,4988
2020-10-19T00:00:00.000Z,2386
2020-10-20T00:00:00.000Z,1832
2020-10-21T00:00:00.000Z,3186
2020-10-22T00:00:00.000Z,3170
2020-10-23T00:00:00.000Z,2476
2020-10-24T00:00:00.000Z,1321
2020-10-25T00:00:00.000Z,2727
2020-10-26T00:00:00.000Z,1315
2020-10-27T00:00:00.000Z,972
2020-10-28T00:00:00.000Z,1308
2020-10-29T00:00:00.000Z,1453
2020-10-30T00:00:00.000Z,1071
2020-10-31T00:00:00.000Z,801
2020-11-01T00:00:00.000Z,1534
2020-11-02T00:00:00.000Z,921
2020-11-03T00:00:00.000Z,738
2020-11-04T00:00:00.000Z,637
2020-11-05T00:00:00.000Z,849
2020-11-06T00:00:00.000Z,899
2020-11-07T00:00:00.000Z,688
2020-11-08T00:00:00.000Z,684
2020-11-09T00:00:00.000Z,930
2020-11-10T00:00:00.000Z,337
2020-11-11T00:00:00.000Z,1099
2020-11-12T00:00:00.000Z,1215
2020-11-13T00:00:00.000Z,739
2020-11-14T00:00:00.000Z,426
2020-11-15T00:00:00.000Z,980
2020-11-16T00:00:00.000Z,668
2020-11-17T00:00:00.000Z,584
2020-11-18T00:00:00.000Z,807
2020-11-19T00:00:00.000Z,757
2020-11-20T00:00:00.000Z,682
2020-11-21T00:00:00.000Z,451
2020-11-22T00:00:00.000Z,1013
2020-11-23T00:00:00.000Z,656
2020-11-24T00:00:00.000Z,548
2020-11-25T00:00:00.000Z,852
2020-11-26T00:00:00.000Z,936
2020-11-27T00:00:00.000Z,698
2020-11-28T00:00:00.000Z,424
2020-11-29T00:00:00.000Z,1114
2020-11-30T00:00:00.000Z,741
2020-12-01T00:00:00.000Z,704
2020-12-02T00:00:00.000Z,848
2020-12-03T00:00:00.000Z,1441
2020-12-04T00:00:00.000Z,869
2020-12-05T00:00:00.000Z,601
2020-12-06T00:00:00.000Z,1412
2020-12-07T00:00:00.000Z,915
2020-12-08T00:00:00.000Z,901
2020-12-09T00:00:00.000Z,1041
2020-12-10T00:00:00.000Z,1448
2020-12-11T00:00:00.000Z,1154
2020-12-12T00:00:00.000Z,925
2020-12-13T00:00:00.000Z,1925
2020-12-14T00:00:00.000Z,1273
2020-12-15T00:00:00.000Z,1213
2020-12-16T00:00:00.000Z,1634
2020-12-17T00:00:00.000Z,1968
2020-12-18T00:00:00.000Z,1571
2020-12-19T00:00:00.000Z,1096
2020-12-20T00:00:00.000Z,2597
2020-12-21T00:00:00.000Z,1577
2020-12-22T00:00:00.000Z,1633
2020-12-23T00:00:00.000Z,2044
2020-12-24T00:00:00.000Z,2896
2020-12-25T00:00:00.000Z,2422
2020-12-26T00:00:00.000Z,1835
