date,dailyDoublingRate,numberOfDoublingDays
2020-06-22T00:00:00.000Z,8.381839348079168,8.611555732837541
2020-06-23T00:00:00.000Z,8.270676691729317,8.722763589516767
2020-06-24T00:00:00.000Z,10.7142857142857,6.810069091403879
2020-06-25T00:00:00.000Z,9.543010752688176,7.604710898784536
2020-06-26T00:00:00.000Z,6.298568507157465,11.34788232651374
2020-06-27T00:00:00.000Z,9.118891881492885,7.942755054101363
2020-06-28T00:00:00.000Z,7.475317348377986,9.614888130869483
2020-06-29T00:00:00.000Z,13.58267716535433,5.442389475706751
2020-06-30T00:00:00.000Z,9.705372616984409,7.483115428566077
2020-07-01T00:00:00.000Z,12.743549236440229,5.778847318959391
2020-07-02T00:00:00.000Z,14.80616534329755,5.020077297465963
2020-07-03T00:00:00.000Z,9.743694060211538,7.455006575015673
2020-07-04T00:00:00.000Z,7.840593141797969,9.182708062013738
2020-07-05T00:00:00.000Z,7.6314884840151365,9.425051852284895
2020-07-06T00:00:00.000Z,6.004471414883428,11.88705571927346
2020-07-07T00:00:00.000Z,9.023802350105449,8.022904288333663
2020-07-08T00:00:00.000Z,4.9191654000276355,14.43454755239395
2020-07-09T00:00:00.000Z,4.925589358619775,14.41616684907756
2020-07-10T00:00:00.000Z,5.8616794276390225,12.16834466318018
2020-07-11T00:00:00.000Z,4.114299264880228,17.19151654645548
2020-07-12T00:00:00.000Z,4.657783851497555,15.22542419428255
2020-07-13T00:00:00.000Z,6.343852013057671,11.2693033136463
2020-07-14T00:00:00.000Z,2.189706333776731,32.00012333923925
2020-07-15T00:00:00.000Z,5.497146290177213,12.95270104726028
2020-07-16T00:00:00.000Z,3.900911161731213,18.11321649880407
2020-07-17T00:00:00.000Z,1.781309947930931,39.2577700637395
2020-07-18T00:00:00.000Z,2.504038772213257,28.0263130771271
2020-07-19T00:00:00.000Z,-1.9525435601085768,-35.1519912354977
2020-07-20T00:00:00.000Z,1.518128237185201,46.00371579509952
2020-07-21T00:00:00.000Z,3.562631949331463,19.8005939258224
2020-07-22T00:00:00.000Z,1.41849995752994,49.21056093069925
2020-07-23T00:00:00.000Z,0.4438860971524239,156.5006071154169
2020-07-24T00:00:00.000Z,1.8594179938297368,37.62315128524769
2020-07-25T00:00:00.000Z,-2.75049115913556,-24.85266649100631
2020-07-26T00:00:00.000Z,0.20202020202020332,343.4543113936879
2020-07-27T00:00:00.000Z,1.3692876344086,50.96679439161204
2020-07-28T00:00:00.000Z,0.9778735394049942,71.22912189833539
