dayDate,ageGroup,isolated,isolatedNormalized,avgIsolatedAmount7Days
2020-03-30T00:00:00.000Z,12-15,,,53
2020-03-30T00:00:00.000Z,16-19,,,85
2020-03-31T00:00:00.000Z,0-4,,,31
2020-03-31T00:00:00.000Z,5-11,,,69
2020-03-31T00:00:00.000Z,12-15,,,44
2020-03-31T00:00:00.000Z,16-19,,,78
2020-04-01T00:00:00.000Z,0-4,,,29
2020-04-01T00:00:00.000Z,5-11,,,55
2020-04-01T00:00:00.000Z,12-15,,,43
2020-04-01T00:00:00.000Z,16-19,,,68
2020-04-02T00:00:00.000Z,0-4,,,22
2020-04-02T00:00:00.000Z,5-11,,,39
2020-04-02T00:00:00.000Z,12-15,,,34
2020-04-02T00:00:00.000Z,16-19,,,59
2020-04-03T00:00:00.000Z,0-4,,,19
2020-04-03T00:00:00.000Z,5-11,,,35
2020-04-03T00:00:00.000Z,12-15,,,31
2020-04-03T00:00:00.000Z,16-19,,,56
2020-04-04T00:00:00.000Z,0-4,,,19
2020-04-04T00:00:00.000Z,5-11,,,33
2020-04-04T00:00:00.000Z,12-15,,,30
2020-04-04T00:00:00.000Z,16-19,,,55
2020-04-05T00:00:00.000Z,0-4,,,18
2020-04-05T00:00:00.000Z,5-11,,,30
2020-04-05T00:00:00.000Z,12-15,,,29
2020-04-05T00:00:00.000Z,16-19,,,55
2020-04-06T00:00:00.000Z,0-4,,,17
2020-04-06T00:00:00.000Z,5-11,,,30
2020-04-06T00:00:00.000Z,12-15,,,27
2020-04-06T00:00:00.000Z,16-19,,,50
2020-04-07T00:00:00.000Z,0-4,,,15
2020-04-07T00:00:00.000Z,5-11,,,27
2020-04-07T00:00:00.000Z,12-15,,,22
2020-04-07T00:00:00.000Z,16-19,,,43
2020-04-08T00:00:00.000Z,0-4,,,12
2020-04-08T00:00:00.000Z,5-11,,,26
2020-04-08T00:00:00.000Z,12-15,,,17
2020-04-08T00:00:00.000Z,16-19,,,35
2020-04-09T00:00:00.000Z,0-4,,,10
2020-04-09T00:00:00.000Z,5-11,,,21
2020-04-09T00:00:00.000Z,12-15,,,13
2020-04-09T00:00:00.000Z,16-19,,,28
2020-04-10T00:00:00.000Z,0-4,,,11
2020-04-10T00:00:00.000Z,5-11,,,18
2020-04-10T00:00:00.000Z,12-15,,,12
2020-04-10T00:00:00.000Z,16-19,,,29
2020-04-11T00:00:00.000Z,0-4,,,10
2020-04-11T00:00:00.000Z,5-11,,,19
2020-04-11T00:00:00.000Z,12-15,,,12
2020-04-11T00:00:00.000Z,16-19,,,28
2020-04-12T00:00:00.000Z,0-4,,,9
2020-04-12T00:00:00.000Z,5-11,,,16
2020-04-12T00:00:00.000Z,12-15,,,10
2020-04-12T00:00:00.000Z,16-19,,,22
2020-04-13T00:00:00.000Z,0-4,,,7
2020-04-13T00:00:00.000Z,5-11,,,13
2020-04-13T00:00:00.000Z,12-15,,,8
2020-04-13T00:00:00.000Z,16-19,,,19
2020-04-14T00:00:00.000Z,0-4,,,7
2020-04-14T00:00:00.000Z,5-11,,,12
2020-04-14T00:00:00.000Z,12-15,,,8
2020-04-14T00:00:00.000Z,16-19,,,18
2020-04-15T00:00:00.000Z,0-4,,,8
2020-04-15T00:00:00.000Z,5-11,,,11
2020-04-15T00:00:00.000Z,12-15,,,7
2020-04-15T00:00:00.000Z,16-19,,,17
2020-04-16T00:00:00.000Z,0-4,,,10
2020-04-16T00:00:00.000Z,5-11,,,16
2020-04-16T00:00:00.000Z,12-15,,,12
2020-04-16T00:00:00.000Z,16-19,,,24
2020-04-17T00:00:00.000Z,0-4,,,8
2020-04-17T00:00:00.000Z,5-11,,,17
2020-04-17T00:00:00.000Z,12-15,,,12
2020-04-17T00:00:00.000Z,16-19,,,22
2020-04-18T00:00:00.000Z,0-4,,,8
2020-04-18T00:00:00.000Z,5-11,,,15
2020-04-18T00:00:00.000Z,12-15,,,11
2020-04-18T00:00:00.000Z,16-19,,,21
2020-04-19T00:00:00.000Z,0-4,,,6
2020-04-19T00:00:00.000Z,5-11,,,14
2020-04-19T00:00:00.000Z,12-15,,,11
2020-04-19T00:00:00.000Z,16-19,,,26
2020-04-20T00:00:00.000Z,0-4,,,7
2020-04-20T00:00:00.000Z,5-11,,,15
2020-04-20T00:00:00.000Z,12-15,,,12
2020-04-20T00:00:00.000Z,16-19,,,27
2020-04-21T00:00:00.000Z,0-4,,,7
2020-04-21T00:00:00.000Z,5-11,,,15
2020-04-21T00:00:00.000Z,12-15,,,12
2020-04-21T00:00:00.000Z,16-19,,,27
2020-04-22T00:00:00.000Z,0-4,,,6
2020-04-22T00:00:00.000Z,5-11,,,14
2020-04-22T00:00:00.000Z,12-15,,,12
2020-04-22T00:00:00.000Z,16-19,,,29
2020-04-23T00:00:00.000Z,0-4,,,4
2020-04-23T00:00:00.000Z,5-11,,,11
2020-04-23T00:00:00.000Z,12-15,,,9
2020-04-23T00:00:00.000Z,16-19,,,24
2020-04-24T00:00:00.000Z,0-4,,,4
2020-04-24T00:00:00.000Z,5-11,,,11
2020-04-24T00:00:00.000Z,12-15,,,9
2020-04-24T00:00:00.000Z,16-19,,,23
2020-04-25T00:00:00.000Z,0-4,,,4
2020-04-25T00:00:00.000Z,5-11,,,10
2020-04-25T00:00:00.000Z,12-15,,,9
2020-04-25T00:00:00.000Z,16-19,,,26
2020-04-26T00:00:00.000Z,0-4,,,4
2020-04-26T00:00:00.000Z,5-11,,,11
2020-04-26T00:00:00.000Z,12-15,,,8
2020-04-26T00:00:00.000Z,16-19,,,20
2020-04-27T00:00:00.000Z,0-4,,,3
2020-04-27T00:00:00.000Z,5-11,,,10
2020-04-27T00:00:00.000Z,12-15,,,8
2020-04-27T00:00:00.000Z,16-19,,,18
2020-04-28T00:00:00.000Z,0-4,,,4
2020-04-28T00:00:00.000Z,5-11,,,10
2020-04-28T00:00:00.000Z,12-15,,,6
2020-04-28T00:00:00.000Z,16-19,,,17
2020-04-29T00:00:00.000Z,0-4,,,4
2020-04-29T00:00:00.000Z,5-11,,,9
2020-04-29T00:00:00.000Z,12-15,,,5
2020-04-29T00:00:00.000Z,16-19,,,14
2020-04-30T00:00:00.000Z,0-4,,,4
2020-04-30T00:00:00.000Z,5-11,,,9
2020-04-30T00:00:00.000Z,12-15,,,5
2020-04-30T00:00:00.000Z,16-19,,,14
2020-05-01T00:00:00.000Z,0-4,,,5
2020-05-01T00:00:00.000Z,5-11,,,9
2020-05-01T00:00:00.000Z,12-15,,,4
2020-05-01T00:00:00.000Z,16-19,,,13
2020-05-02T00:00:00.000Z,0-4,,,4
2020-05-02T00:00:00.000Z,5-11,,,9
2020-05-02T00:00:00.000Z,12-15,,,4
2020-05-02T00:00:00.000Z,16-19,,,11
2020-05-03T00:00:00.000Z,0-4,,,4
