name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
רהט,2.8,ירוק,6.4,0.0289505428226,0.6206896551723999,72,ירוק,2021-12-22T00:00:00.000Z,44.16,36.11,14.5,9.8
כרמיאל,2.4,ירוק,2.8,0.0049523809523,0.3,20,ירוק,2021-12-22T00:00:00.000Z,77.95,73.57,57.45,4.3
קרית יערים,4.6,ירוק,12.8,0.0307692307692,0, קטן מ-15 ,צהוב,2021-12-22T00:00:00.000Z,49.07,37.43,23.08,
צור הדסה,5,ירוק,25.1,0.0294715447154,1.9,30,צהוב,2021-12-22T00:00:00.000Z,61.74,55.66,43.19,25.9
מרכז שפירא,2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,71.53,64.74,48.9,0.0
מעגלים,3.3,ירוק,9.7,0.0266666666666,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,57.41,50.82,35.72,
"בני עי""ש",3.4,ירוק,5.8,0.009900990099,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,70.86,66.56,50.38,
מעלות-תרשיחא,3,אדום,5.9,0.0086436170212,-0.7234042553191999,28,ירוק,2021-12-22T00:00:00.000Z,72.81,68.00,49.09,12.6
נוף הגליל,2.3,ירוק,4.1,0.0059523809523,0.0625,21,ירוק,2021-12-22T00:00:00.000Z,74.13,69.26,51.84,5.0
לקיה,3.3,ירוק,1.4,0.007662835249,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,30.44,25.05,8.29,
כסיפה,4.3,צהוב,13.4,0.0475435816164,0,47,ירוק,2021-12-22T00:00:00.000Z,22.28,18.37,6.56,21.0
תל שבע,4,ירוק,9.3,0.0297176820208,0.6666666666665999,28,ירוק,2021-12-22T00:00:00.000Z,31.36,26.81,10.25,13.0
בית חשמונאי,2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,86.34,79.53,60.62,0.0
קרית מלאכי,1.8,ירוק,1.6,0.0029048656499,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,58.60,51.25,31.71,
שדרות,5.1,ירוק,5.5,0.0115107913669,-0.05882352941180002,31,צהוב,2021-12-22T00:00:00.000Z,64.05,58.17,40.93,10.7
אור עקיבא,2.6,ירוק,4.1,0.0082474226804,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,72.35,66.96,48,
מבשרת ציון,4.2,ירוק,11.5,0.0110771581359,1,33,ירוק,2021-12-22T00:00:00.000Z,81.78,75.29,60.46,13.6
ביר אל-מכסור,3.5,ירוק,2.1,0.007662835249,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,67.92,61.16,34.26,
רומת הייב,5.6,ירוק,19.1,0.043956043956,0, קטן מ-15 ,צהוב,2021-12-22T00:00:00.000Z,55.34,49.05,23.95,
כעביה-טבאש-חג'אג'רה,2.3,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,59.58,51.58,24.82,
זרזיר,3.4,ירוק,3.6,0.0075376884422,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,59.74,53.85,26.54,
אבו קורינאת (שבט),2.4,אפור,1.5,0.0163934426229,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,8.59,7.39,2.22,
אבו ג'ווייעד (שבט),4.4,אפור,12.9,0.0133037694013,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,60.92,53.00,28.33,
אבו רובייעה (שבט),4.4,אפור,4.5,0.063492063492,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,8.70,6.86,2.15,
אטרש (שבט),4.3,אפור,5.6,0.0425531914893,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,9.45,7.67,2.08,
קודייראת א-צאנע(שבט),2,אפור,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,7.59,6.30,1.55,0.0
אעצם (שבט),3.3,אפור,1.8,0.0350877192982,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,10.39,8.73,2.12,
טובא-זנגריה,2.1,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,64.76,58.17,29.01,
