dayDate,ageGroup,verifiedNormalized,avgVerifiedAmount7Days
2020-04-12T00:00:00.000Z,16-19,6.08,33
2020-04-13T00:00:00.000Z,0-4,1.97,12
2020-04-13T00:00:00.000Z,5-11,2.26,23
2020-04-13T00:00:00.000Z,12-15,5.18,23
2020-04-13T00:00:00.000Z,16-19,10.13,35
2020-04-14T00:00:00.000Z,0-4,2.08,13
2020-04-14T00:00:00.000Z,5-11,2.1,25
2020-04-14T00:00:00.000Z,12-15,4.08,23
2020-04-14T00:00:00.000Z,16-19,5.4,35
2020-04-15T00:00:00.000Z,0-4,1.2,13
2020-04-15T00:00:00.000Z,5-11,2.5,26
2020-04-15T00:00:00.000Z,12-15,4.87,24
2020-04-15T00:00:00.000Z,16-19,6.75,35
2020-04-16T00:00:00.000Z,0-4,1.53,14
2020-04-16T00:00:00.000Z,5-11,2.02,27
2020-04-16T00:00:00.000Z,12-15,1.73,23
2020-04-16T00:00:00.000Z,16-19,5.06,35
2020-04-17T00:00:00.000Z,0-4,1.53,15
2020-04-17T00:00:00.000Z,5-11,1.78,27
2020-04-17T00:00:00.000Z,12-15,4.71,24
2020-04-17T00:00:00.000Z,16-19,6.58,38
2020-04-18T00:00:00.000Z,0-4,1.31,15
2020-04-18T00:00:00.000Z,5-11,2.26,28
2020-04-18T00:00:00.000Z,12-15,4.24,25
2020-04-18T00:00:00.000Z,16-19,5.74,38
2020-04-19T00:00:00.000Z,0-4,1.64,14
2020-04-19T00:00:00.000Z,5-11,2.34,27
2020-04-19T00:00:00.000Z,12-15,3.93,26
2020-04-19T00:00:00.000Z,16-19,4.05,37
2020-04-20T00:00:00.000Z,0-4,1.53,14
2020-04-20T00:00:00.000Z,5-11,2.1,26
2020-04-20T00:00:00.000Z,12-15,4.56,25
2020-04-20T00:00:00.000Z,16-19,5.57,33
2020-04-21T00:00:00.000Z,0-4,1.53,13
2020-04-21T00:00:00.000Z,5-11,1.45,25
2020-04-21T00:00:00.000Z,12-15,5.18,26
2020-04-21T00:00:00.000Z,16-19,7.93,35
2020-04-22T00:00:00.000Z,0-4,2.19,14
2020-04-22T00:00:00.000Z,5-11,1.78,24
2020-04-22T00:00:00.000Z,12-15,2.67,24
2020-04-22T00:00:00.000Z,16-19,5.74,34
2020-04-23T00:00:00.000Z,0-4,2.62,16
2020-04-23T00:00:00.000Z,5-11,2.58,25
2020-04-23T00:00:00.000Z,12-15,3.93,26
2020-04-23T00:00:00.000Z,16-19,5.06,34
2020-04-24T00:00:00.000Z,0-4,1.2,15
2020-04-24T00:00:00.000Z,5-11,2.42,26
2020-04-24T00:00:00.000Z,12-15,4.71,26
2020-04-24T00:00:00.000Z,16-19,4.89,33
2020-04-25T00:00:00.000Z,0-4,0.66,14
2020-04-25T00:00:00.000Z,5-11,1.78,25
2020-04-25T00:00:00.000Z,12-15,2.67,25
2020-04-25T00:00:00.000Z,16-19,4.05,31
2020-04-26T00:00:00.000Z,0-4,0.55,13
2020-04-26T00:00:00.000Z,5-11,0.81,22
2020-04-26T00:00:00.000Z,12-15,1.57,23
2020-04-26T00:00:00.000Z,16-19,0.84,28
2020-04-27T00:00:00.000Z,0-4,0.77,12
2020-04-27T00:00:00.000Z,5-11,0.65,20
2020-04-27T00:00:00.000Z,12-15,1.41,20
2020-04-27T00:00:00.000Z,16-19,3.21,26
2020-04-28T00:00:00.000Z,0-4,0.98,11
2020-04-28T00:00:00.000Z,5-11,1.78,20
2020-04-28T00:00:00.000Z,12-15,2.67,17
2020-04-28T00:00:00.000Z,16-19,3.88,23
2020-04-29T00:00:00.000Z,0-4,0.33,9
2020-04-29T00:00:00.000Z,5-11,0.56,18
2020-04-29T00:00:00.000Z,12-15,0.94,16
2020-04-29T00:00:00.000Z,16-19,1.69,20
2020-04-30T00:00:00.000Z,0-4,1.31,7
2020-04-30T00:00:00.000Z,5-11,1.13,16
2020-04-30T00:00:00.000Z,12-15,3.14,15
2020-04-30T00:00:00.000Z,16-19,2.7,18
2020-05-01T00:00:00.000Z,0-4,1.42,7
2020-05-01T00:00:00.000Z,5-11,0.97,13
2020-05-01T00:00:00.000Z,12-15,1.89,13
2020-05-01T00:00:00.000Z,16-19,1.52,15
2020-05-02T00:00:00.000Z,0-4,0.33,7
