name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
TUBA-ZANGARIYYE,3.9,ירוק,4.4,15,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,65.46,59.01,32.13,
QUDEIRAT AS-SANI,2,אפור,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,8.29,6.97,2.03,0.0
BIR EL-MAKSUR,3.3,ירוק,8.2,8,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,68.34,61.73,36.75,
MERKAZ SHAPPIRA,6.4,ירוק,50.0,48,19, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,75.07,69.70,52.44,
GIV'AT SHEMU'EL,9.8,אדום,73.1,36,63,180,אדום,2022-06-11T00:00:00.000Z,80.87,76.74,60.54,66.1
SHIBLI-UMM AL-GHANAM,4.3,צהוב,4.9,4,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,73.56,65.28,41.46,
ZUR HADASSA,9.8,צהוב,39.7,52,142,40,אדום,2022-06-11T00:00:00.000Z,64.48,60.63,46.33,34.6
HOD HASHARON,8.8,אדום,49.9,26,79,320,אדום,2022-06-11T00:00:00.000Z,83.25,80.36,65.45,49.4
BINYAMINA-GIV'AT ADA,9.1,אדום,42.0,38,103,54,אדום,2022-06-11T00:00:00.000Z,78.62,75.13,59.19,33.8
KEFAR WERADIM,8.4,כתום,34.6,28,35,16,אדום,2022-06-11T00:00:00.000Z,88.79,86.01,72.12,29.1
QADIMA-ZORAN,10,אדום,53.3,37,128,105,אדום,2022-06-11T00:00:00.000Z,78.99,75.79,59.87,46.2
OFAQIM,8.1,צהוב,26.3,27,174,81,אדום,2022-06-11T00:00:00.000Z,65.49,58.12,40.64,25.0
MUQEIBLE,3.8,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,73.06,62.46,34.63,
ABU JUWEI'ID,6,אפור,34.4,21,60,18,כתום,2022-06-11T00:00:00.000Z,80.92,73.35,45.19,38.7
ARRABE,6,ירוק,8.4,16,120,20,כתום,2022-06-11T00:00:00.000Z,68.94,59.59,34.90,7.6
YAD BINYAMIN,4.9,ירוק,9.4,13,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,59.21,53.19,36.17,
GANNE MODI'IN,4.5,צהוב,11.1,15,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,38.15,32.98,20.67,
BAQA AL-GHARBIYYE,4.7,ירוק,4.9,17,25,22,צהוב,2022-06-11T00:00:00.000Z,66.98,59.38,34.99,7.2
EILABUN,9,כתום,143.6,32,492,78,אדום,2022-06-11T00:00:00.000Z,71.89,64.83,45.93,134.9
ROSH PINNA,5,ירוק,21.7,25,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,73.40,70.55,55.46,
SHILO,4.3,צהוב,2.2,7,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,55.10,48.41,29.46,
MEVO HORON,5.1,צהוב,14.7,66,-23, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,59.12,51.32,32.52,
NETIVOT,7.2,צהוב,13.4,19,178,52,כתום,2022-06-11T00:00:00.000Z,55.62,47.43,30.12,13.2
IKSAL,4.3,ירוק,6.0,10,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,67.43,58.57,32.52,
BEIT JANN,3.2,ירוק,4.1,20,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,72.82,60.60,42.31,
KAFAR MISR,3.4,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,68.68,58.39,33.80,
BET ARYE,7.5,כתום,30.0,29,23, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,73.46,69.99,54.02,
MAZKERET BATYA,10,אדום,81.5,44,141,101,אדום,2022-06-11T00:00:00.000Z,מעל 90%,86.13,66.21,66.9
BAT HEFER,9.3,צהוב,56.8,44,100,26,אדום,2022-06-11T00:00:00.000Z,88.29,84.98,70.39,49.3
GIV'AT BRENNER,4.9,צהוב,7.5,12,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,79.29,77.11,61.99,
BI'NE,2.4,ירוק,2.4,1,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,61.37,51.53,28.80,
KEFAR TAVOR,9.9,אדום,38.6,38,-29,22,אדום,2022-06-11T00:00:00.000Z,87.78,83.50,66.21,50.0
PESAGOT,3.9,צהוב,9.5,40,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,74.61,65.32,45.50,
ZUFIM,5.1,ירוק,28.6,36,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,71.69,66.94,49.06,
