day_date,age_group,death_amount_vaccinated,death_amount_expired,death_amount_not_vaccinated,death_vaccinated_normalized,death_expired_normalized,death_not_vaccinated_normalized
2021-02-20T00:00:00.000Z,מעל גיל 60,2,0,12,0.2,,3.9
2021-02-20T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-02-20T00:00:00.000Z,כלל האוכלוסיה,2,0,16,0.1,,0.3
2021-02-21T00:00:00.000Z,מתחת לגיל 60,1,0,2,0.1,,0
2021-02-21T00:00:00.000Z,מעל גיל 60,2,0,15,0.2,,5
2021-02-21T00:00:00.000Z,כלל האוכלוסיה,3,0,17,0.1,,0.3
2021-02-22T00:00:00.000Z,מעל גיל 60,1,0,5,0.1,,1.7
2021-02-22T00:00:00.000Z,כלל האוכלוסיה,1,0,12,0,,0.2
2021-02-22T00:00:00.000Z,מתחת לגיל 60,0,0,7,0,,0.1
2021-02-23T00:00:00.000Z,מעל גיל 60,2,0,22,0.2,,7.6
2021-02-23T00:00:00.000Z,מתחת לגיל 60,1,0,3,0.1,,0.1
2021-02-23T00:00:00.000Z,כלל האוכלוסיה,3,0,25,0.1,,0.5
2021-02-24T00:00:00.000Z,כלל האוכלוסיה,0,0,19,0,,0.4
2021-02-24T00:00:00.000Z,מעל גיל 60,0,0,16,0,,5.7
2021-02-24T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-02-25T00:00:00.000Z,כלל האוכלוסיה,2,0,13,0.1,,0.3
2021-02-25T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-02-25T00:00:00.000Z,מעל גיל 60,2,0,10,0.2,,3.6
2021-02-26T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-02-26T00:00:00.000Z,כלל האוכלוסיה,1,0,14,0,,0.3
2021-02-26T00:00:00.000Z,מעל גיל 60,1,0,12,0.1,,4.3
2021-02-27T00:00:00.000Z,מתחת לגיל 60,0,0,7,0,,0.2
2021-02-27T00:00:00.000Z,מעל גיל 60,3,0,17,0.3,,6.2
2021-02-27T00:00:00.000Z,כלל האוכלוסיה,3,0,24,0.1,,0.5
2021-02-28T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-02-28T00:00:00.000Z,כלל האוכלוסיה,3,0,14,0.1,,0.3
2021-02-28T00:00:00.000Z,מעל גיל 60,3,0,12,0.3,,4.4
2021-03-01T00:00:00.000Z,מעל גיל 60,2,0,8,0.2,,3
2021-03-01T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-03-01T00:00:00.000Z,כלל האוכלוסיה,2,0,12,0.1,,0.3
2021-03-02T00:00:00.000Z,מעל גיל 60,1,0,10,0.1,,3.8
2021-03-02T00:00:00.000Z,כלל האוכלוסיה,1,0,16,0,,0.3
2021-03-02T00:00:00.000Z,מתחת לגיל 60,0,0,6,0,,0.1
2021-03-03T00:00:00.000Z,כלל האוכלוסיה,3,0,12,0.1,,0.3
2021-03-03T00:00:00.000Z,מעל גיל 60,3,0,10,0.3,,3.9
2021-03-03T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-04T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-03-04T00:00:00.000Z,כלל האוכלוסיה,0,0,10,0,,0.2
2021-03-04T00:00:00.000Z,מעל גיל 60,0,0,9,0,,3.6
2021-03-05T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-05T00:00:00.000Z,מעל גיל 60,2,0,12,0.2,,4.8
2021-03-05T00:00:00.000Z,כלל האוכלוסיה,2,0,14,0.1,,0.3
2021-03-06T00:00:00.000Z,כלל האוכלוסיה,0,0,13,0,,0.3
2021-03-06T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-06T00:00:00.000Z,מעל גיל 60,0,0,11,0,,4.4
2021-03-07T00:00:00.000Z,כלל האוכלוסיה,3,0,9,0.1,,0.2
2021-03-07T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-03-07T00:00:00.000Z,מעל גיל 60,3,0,6,0.3,,2.4
2021-03-08T00:00:00.000Z,מעל גיל 60,1,0,12,0.1,,4.9
2021-03-08T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-08T00:00:00.000Z,כלל האוכלוסיה,1,0,14,0,,0.3
2021-03-09T00:00:00.000Z,מעל גיל 60,1,0,9,0.1,,3.8
2021-03-09T00:00:00.000Z,כלל האוכלוסיה,1,0,11,0,,0.2
2021-03-09T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-10T00:00:00.000Z,כלל האוכלוסיה,0,0,14,0,,0.3
2021-03-10T00:00:00.000Z,מעל גיל 60,0,0,10,0,,4.2
2021-03-10T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-03-11T00:00:00.000Z,כלל האוכלוסיה,2,0,14,0.1,,0.3
2021-03-11T00:00:00.000Z,מעל גיל 60,2,0,12,0.2,,5.1
2021-03-11T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-12T00:00:00.000Z,מעל גיל 60,0,0,8,0,,3.4
2021-03-12T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-03-12T00:00:00.000Z,כלל האוכלוסיה,0,0,9,0,,0.2
2021-03-13T00:00:00.000Z,מעל גיל 60,2,0,5,0.2,,2.1
2021-03-13T00:00:00.000Z,כלל האוכלוסיה,2,0,9,0.1,,0.2
2021-03-13T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,,0.1
2021-03-14T00:00:00.000Z,מעל גיל 60,3,0,15,0.2,,6.5
2021-03-14T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-03-14T00:00:00.000Z,כלל האוכלוסיה,3,0,18,0.1,,0.4
2021-03-15T00:00:00.000Z,מעל גיל 60,2,0,9,0.2,,3.9
