date,amount
2020-09-07T00:00:00.000Z,1600
2020-09-08T00:00:00.000Z,1442
2020-09-09T00:00:00.000Z,1471
2020-09-10T00:00:00.000Z,1983
2020-09-11T00:00:00.000Z,1778
2020-09-12T00:00:00.000Z,1270
2020-09-13T00:00:00.000Z,3282
2020-09-14T00:00:00.000Z,2413
2020-09-15T00:00:00.000Z,2287
2020-09-16T00:00:00.000Z,2806
2020-09-17T00:00:00.000Z,3724
2020-09-18T00:00:00.000Z,2866
2020-09-19T00:00:00.000Z,1454
2020-09-20T00:00:00.000Z,2487
2020-09-21T00:00:00.000Z,4686
2020-09-22T00:00:00.000Z,3538
2020-09-23T00:00:00.000Z,3841
2020-09-24T00:00:00.000Z,4632
2020-09-25T00:00:00.000Z,4181
2020-09-26T00:00:00.000Z,2408
2020-09-27T00:00:00.000Z,5728
2020-09-28T00:00:00.000Z,2183
2020-09-29T00:00:00.000Z,5836
2020-09-30T00:00:00.000Z,5254
2020-10-01T00:00:00.000Z,5789
2020-10-02T00:00:00.000Z,5622
2020-10-03T00:00:00.000Z,3525
2020-10-04T00:00:00.000Z,8150
2020-10-05T00:00:00.000Z,6999
2020-10-06T00:00:00.000Z,6479
2020-10-07T00:00:00.000Z,4924
2020-10-08T00:00:00.000Z,4835
2020-10-09T00:00:00.000Z,5139
2020-10-10T00:00:00.000Z,3828
2020-10-11T00:00:00.000Z,7614
2020-10-12T00:00:00.000Z,5552
2020-10-13T00:00:00.000Z,5775
2020-10-14T00:00:00.000Z,5879
2020-10-15T00:00:00.000Z,5456
2020-10-16T00:00:00.000Z,3508
2020-10-17T00:00:00.000Z,2523
2020-10-18T00:00:00.000Z,4954
2020-10-19T00:00:00.000Z,2367
2020-10-20T00:00:00.000Z,1819
2020-10-21T00:00:00.000Z,3163
2020-10-22T00:00:00.000Z,3152
2020-10-23T00:00:00.000Z,2453
2020-10-24T00:00:00.000Z,1314
2020-10-25T00:00:00.000Z,2708
2020-10-26T00:00:00.000Z,1304
2020-10-27T00:00:00.000Z,963
2020-10-28T00:00:00.000Z,1304
2020-10-29T00:00:00.000Z,1444
2020-10-30T00:00:00.000Z,1068
2020-10-31T00:00:00.000Z,795
2020-11-01T00:00:00.000Z,1523
2020-11-02T00:00:00.000Z,916
2020-11-03T00:00:00.000Z,734
2020-11-04T00:00:00.000Z,633
2020-11-05T00:00:00.000Z,847
2020-11-06T00:00:00.000Z,894
2020-11-07T00:00:00.000Z,688
2020-11-08T00:00:00.000Z,684
2020-11-09T00:00:00.000Z,923
2020-11-10T00:00:00.000Z,338
2020-11-11T00:00:00.000Z,1090
2020-11-12T00:00:00.000Z,1212
2020-11-13T00:00:00.000Z,737
2020-11-14T00:00:00.000Z,423
2020-11-15T00:00:00.000Z,974
2020-11-16T00:00:00.000Z,662
2020-11-17T00:00:00.000Z,581
2020-11-18T00:00:00.000Z,802
2020-11-19T00:00:00.000Z,753
2020-11-20T00:00:00.000Z,678
2020-11-21T00:00:00.000Z,451
2020-11-22T00:00:00.000Z,1008
2020-11-23T00:00:00.000Z,654
2020-11-24T00:00:00.000Z,545
2020-11-25T00:00:00.000Z,849
2020-11-26T00:00:00.000Z,934
2020-11-27T00:00:00.000Z,694
2020-11-28T00:00:00.000Z,422
2020-11-29T00:00:00.000Z,1113
2020-11-30T00:00:00.000Z,739
2020-12-01T00:00:00.000Z,702
2020-12-02T00:00:00.000Z,846
2020-12-03T00:00:00.000Z,1436
2020-12-04T00:00:00.000Z,869
2020-12-05T00:00:00.000Z,602
2020-12-06T00:00:00.000Z,1405
2020-12-07T00:00:00.000Z,911
2020-12-08T00:00:00.000Z,896
2020-12-09T00:00:00.000Z,1039
2020-12-10T00:00:00.000Z,1443
2020-12-11T00:00:00.000Z,1154
2020-12-12T00:00:00.000Z,925
2020-12-13T00:00:00.000Z,1922
2020-12-14T00:00:00.000Z,1272
2020-12-15T00:00:00.000Z,1210
2020-12-16T00:00:00.000Z,1634
2020-12-17T00:00:00.000Z,1962
2020-12-18T00:00:00.000Z,1568
2020-12-19T00:00:00.000Z,1097
2020-12-20T00:00:00.000Z,2596
2020-12-21T00:00:00.000Z,1570
2020-12-22T00:00:00.000Z,1632
2020-12-23T00:00:00.000Z,2044
2020-12-24T00:00:00.000Z,2889
2020-12-25T00:00:00.000Z,2414
2020-12-26T00:00:00.000Z,1832
2020-12-27T00:00:00.000Z,4239
2020-12-28T00:00:00.000Z,2496
2020-12-29T00:00:00.000Z,2406
2020-12-30T00:00:00.000Z,3747
2020-12-31T00:00:00.000Z,4295
2021-01-01T00:00:00.000Z,3489
2021-01-02T00:00:00.000Z,2064
2021-01-03T00:00:00.000Z,5606
2021-01-04T00:00:00.000Z,3121
2021-01-05T00:00:00.000Z,2987
2021-01-06T00:00:00.000Z,4830
2021-01-07T00:00:00.000Z,5902
2021-01-08T00:00:00.000Z,4886
2021-01-09T00:00:00.000Z,3115
2021-01-10T00:00:00.000Z,8428
2021-01-11T00:00:00.000Z,4889
2021-01-12T00:00:00.000Z,4603
2021-01-13T00:00:00.000Z,8083
2021-01-14T00:00:00.000Z,9288
2021-01-15T00:00:00.000Z,8079
2021-01-16T00:00:00.000Z,4308
2021-01-17T00:00:00.000Z,11010
2021-01-18T00:00:00.000Z,6216
2021-01-19T00:00:00.000Z,5544
2021-01-20T00:00:00.000Z,8852
2021-01-21T00:00:00.000Z,10089
2021-01-22T00:00:00.000Z,8569
2021-01-23T00:00:00.000Z,4221
2021-01-24T00:00:00.000Z,10655
2021-01-25T00:00:00.000Z,5669
2021-01-26T00:00:00.000Z,5130
2021-01-27T00:00:00.000Z,8767
2021-01-28T00:00:00.000Z,9319
2021-01-29T00:00:00.000Z,7627
2021-01-30T00:00:00.000Z,3586
2021-01-31T00:00:00.000Z,10192
2021-02-01T00:00:00.000Z,5184
2021-02-02T00:00:00.000Z,4443
2021-02-03T00:00:00.000Z,8288
2021-02-04T00:00:00.000Z,8221
2021-02-05T00:00:00.000Z,7318
