name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
אלעד,1.1,ירוק,0.8,0.0093457943925,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,28.581305028569105,21.999227312470772,
דייר חנא,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,59.63285208910985,52.57672817668993,0.0
גבעת שמואל,3.3,ירוק,2.9,0.0050697084917,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,67.49155529446321,60.75047730944338,
מסעודין אל-עזאזמה,2.6,ירוק,1.1,0.0408163265306,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,5.72133722234687,4.846309176576172,
דאלית אל-כרמל,3,ירוק,2.8,0.0219298245614,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,53.62221475758594,48.398835516739446,
טמרה,1.6,ירוק,0.6,0.0045146726862,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,56.01422875010758,48.99452078372873,
יהוד,8.6,ירוק,23.7,0.0188576113692,1.84,88,ירוק,2021-07-11T00:00:00.000Z,72.59607372596074,66.53001366530013,29.3
קרית טבעון,2.6,ירוק,2.2,0.0062695924764,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,70.27263768750684,66.03525676119565,
נהריה,2.6,ירוק,2.4,0.011466011466,0.3999999999999999,18,ירוק,2021-07-11T00:00:00.000Z,73.77046410650627,68.73743432056632,3.0
ע'ג'ר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,48.96065330363771,46.28804751299183,0.0
כסיפה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,17.851726291373005,15.469711838701045,0.0
עץ אפרים,6.6,ירוק,40.5,0.0352112676056,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,55.78947368421052,47.81376518218624,
נוף הגליל,1.9,ירוק,0.7,0.0032223415682,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,67.88796185935637,63.50893921334922,
גדרה,3,ירוק,2.8,0.0109289617486,0, קטן מ-15 ,ירוק,2021-07-11T00:00:00.000Z,62.37805936469363,56.26106578718972,
חריש,6.8,ירוק,13.8,0.0306469920544,1.7,32,ירוק,2021-07-11T00:00:00.000Z,41.865565075479395,38.30579355365157,16.3
מג'דל שמס,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-11T00:00:00.000Z,62.628957666310924,51.76093916755603,0.0
