priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
month3,פיליפינים,כתום,2,748,4,0.53,2021-11-29T00:00:00.000Z,0,4
month3,בהמס,כתום,2,34,0,0,2021-11-29T00:00:00.000Z,0,0
month3,לטביה,כתום,2,1468,2,0.14,2021-11-29T00:00:00.000Z,2,0
month3,בוליביה,כתום,2,26,0,0,2021-11-29T00:00:00.000Z,0,0
month3,תורכמניסטאן,כתום,2,163,1,0.61,2021-11-29T00:00:00.000Z,1,0
month3,טג'יקיסטאן,כתום,2,32,0,0,2021-11-29T00:00:00.000Z,0,0
month3,זימבאבווה,אדום,1,69,0,0,2021-11-29T00:00:00.000Z,0,0
month3,טונגה,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ברמודה,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
month3,מדגסקר,אדום,1,6,1,16.67,2021-11-29T00:00:00.000Z,0,1
month3,סנגל,אדום,1,64,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ספרד,כתום,2,28744,30,0.1,2021-11-29T00:00:00.000Z,28,2
month3,איי פיגי,כתום,2,4,0,0,2021-11-29T00:00:00.000Z,0,0
month3,נאורו,כתום,2,1,0,0,2021-11-29T00:00:00.000Z,0,0
month3,איי הבתולה,כתום,2,3,0,0,2021-11-29T00:00:00.000Z,0,0
month3,גאורגיה,כתום,2,33655,90,0.27,2021-11-29T00:00:00.000Z,90,0
month3,תימן,כתום,2,22,0,0,2021-11-29T00:00:00.000Z,0,0
month3,גמביה,אדום,1,24,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אסטוניה,כתום,2,410,2,0.49,2021-11-29T00:00:00.000Z,2,0
month3,בחריין,כתום,2,974,0,0,2021-11-29T00:00:00.000Z,0,0
month3,לוכסמבורג,כתום,2,165,0,0,2021-11-29T00:00:00.000Z,0,0
month3,פקיסטן,כתום,2,4,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אזרביג'אן,כתום,2,3780,17,0.45,2021-11-29T00:00:00.000Z,16,1
month3,צכיה,כתום,2,40034,102,0.25,2021-11-29T00:00:00.000Z,100,2
month3,ניו זילנד,כתום,2,61,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אנגולה,אדום,1,240,1,0.42,2021-11-29T00:00:00.000Z,1,0
month3,מונקו,כתום,2,49,1,2.04,2021-11-29T00:00:00.000Z,1,0
month3,מקסיקו,כתום,2,1146,12,1.05,2021-11-29T00:00:00.000Z,12,0
month3,אוסטרליה,כתום,2,940,3,0.32,2021-11-29T00:00:00.000Z,2,1
month3,אורגוואי,כתום,2,307,1,0.33,2021-11-29T00:00:00.000Z,1,0
month3,סט. לוציה,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
month3,ליכטנשטיין,כתום,2,2,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אלגיריה,כתום,2,5,0,0,2021-11-29T00:00:00.000Z,0,0
month3,טיוואן,כתום,2,49,0,0,2021-11-29T00:00:00.000Z,0,0
month3,גיברלטר,כתום,2,40,1,2.5,2021-11-29T00:00:00.000Z,1,0
month3,ארמניה,כתום,2,640,5,0.78,2021-11-29T00:00:00.000Z,5,0
month3,אריתראה,אדום,1,2,0,0,2021-11-29T00:00:00.000Z,0,0
month3,אוסטריה,כתום,2,45988,93,0.2,2021-11-29T00:00:00.000Z,88,5
month3,צ'ילה,כתום,2,208,0,0,2021-11-29T00:00:00.000Z,0,0
month3,גרמניה,כתום,2,50337,79,0.16,2021-11-29T00:00:00.000Z,70,9
month3,מקאו,כתום,2,17,0,0,2021-11-29T00:00:00.000Z,0,0
