dailyDoublingRate,date,numberOfDoublingDays
-7.741935483870977,2020-05-18T00:00:00.000Z,-8.601923484159142
-0.6993006993006978,2020-05-19T00:00:00.000Z,-98.77306787923165
-16.90140845070421,2020-05-20T00:00:00.000Z,-3.743859086330005
-4.237288135593231,2020-05-21T00:00:00.000Z,-16.00919902749929
7.079646017699104,2020-05-22T00:00:00.000Z,10.13332672732991
0,2020-05-23T00:00:00.000Z,
-1.652892561983466,2020-05-24T00:00:00.000Z,-41.58786811135091
-4.201680672268915,2020-05-25T00:00:00.000Z,-16.14784993537544
24.56140350877194,2020-05-26T00:00:00.000Z,3.155996766830113
17.6056338028169,2020-05-27T00:00:00.000Z,4.274286559835123
35.92814371257485,2020-05-28T00:00:00.000Z,2.258130538243927
40.9691629955947,2020-05-29T00:00:00.000Z,2.018653946721669
7.187499999999991,2020-05-30T00:00:00.000Z,9.98635152500124
21.86588921282799,2020-05-31T00:00:00.000Z,3.505151589016048
18.66028708133971,2020-06-01T00:00:00.000Z,4.051253570725667
14.314516129032251,2020-06-02T00:00:00.000Z,5.181115891141776
10.05291005291005,2020-06-03T00:00:00.000Z,7.236031702464029
10.25641025641026,2020-06-04T00:00:00.000Z,7.099119677477098
1.5988372093023169,2020-06-05T00:00:00.000Z,43.69886284962387
7.153075822603716,2020-06-06T00:00:00.000Z,10.03278079863928
6.942590120160208,2020-06-07T00:00:00.000Z,10.32668211548731
9.862671660424471,2020-06-08T00:00:00.000Z,7.369127187130631
5.795454545454559,2020-06-09T00:00:00.000Z,12.3035062332765
15.14500537056929,2020-06-10T00:00:00.000Z,4.915168301759838
4.664179104477606,2020-06-11T00:00:00.000Z,15.20501603906797
5.258467023172919,2020-06-12T00:00:00.000Z,13.52515816505752
6.011854360711255,2020-06-13T00:00:00.000Z,11.87287510283296
-0.319488817891378,2020-06-14T00:00:00.000Z,-216.6083090856133
1.522435897435903,2020-06-15T00:00:00.000Z,45.87452616068914
9.86582478295186,2020-06-16T00:00:00.000Z,7.366879382251556
2.2270114942528623,2020-06-17T00:00:00.000Z,31.46984570873048
7.870695713281806,2020-06-18T00:00:00.000Z,9.148880244401244
8.078175895765472,2020-06-19T00:00:00.000Z,8.92257810908949
0.5424954792043302,2020-06-20T00:00:00.000Z,128.1163913628888
2.2781774580335807,2020-06-21T00:00:00.000Z,30.77078552364388
8.440797186400939,2020-06-22T00:00:00.000Z,8.553762064907271
8.108108108108114,2020-06-23T00:00:00.000Z,8.890886038076006
10.85,2020-06-24T00:00:00.000Z,6.729077958313334
9.517365809652677,2020-06-25T00:00:00.000Z,7.624295958510268
6.507413509060966,2020-06-26T00:00:00.000Z,10.99458638550148
9.31941221964423,2020-06-27T00:00:00.000Z,7.779098010452541
7.357622921825269,2020-06-28T00:00:00.000Z,9.763276349304931
13.443163097199328,2020-06-29T00:00:00.000Z,5.495421465712909
9.758931164681982,2020-06-30T00:00:00.000Z,7.443891425151205
12.781159036782212,2020-07-01T00:00:00.000Z,5.762822692499411
14.828718911309242,2020-07-02T00:00:00.000Z,5.012945724379029
9.685328974254205,2020-07-03T00:00:00.000Z,7.497906015504734
8.02906110283159,2020-07-04T00:00:00.000Z,8.975092318503528
7.777202966028618,2020-07-05T00:00:00.000Z,9.254798831460377
6.143999999999994,2020-07-06T00:00:00.000Z,11.62482202591818
9.059391015978303,2020-07-07T00:00:00.000Z,7.992710352040836
4.879060124395296,2020-07-08T00:00:00.000Z,14.55039385021715
4.981549815498165,2020-07-09T00:00:00.000Z,14.25805346793219
5.874968616620646,2020-07-10T00:00:00.000Z,12.14158910517574
3.9957315627223053,2020-07-11T00:00:00.000Z,17.69150140474925
4.640291870938307,2020-07-12T00:00:00.000Z,15.2815308716517
6.36304205709306,2020-07-13T00:00:00.000Z,11.23634075539178
2.294611759885279,2020-07-14T00:00:00.000Z,30.55286484108936
5.527738834368101,2020-07-15T00:00:00.000Z,12.88290023974277
3.9096602770924314,2020-07-16T00:00:00.000Z,18.07344814291696
1.7442922374429242,2020-07-17T00:00:00.000Z,40.08359372914897
2.4593842563504174,2020-07-18T00:00:00.000Z,28.5289393147995
-1.971090670170828,2020-07-19T00:00:00.000Z,-34.8179434605491
1.474530831099186,2020-07-20T00:00:00.000Z,47.35370960726831
3.4962571554381325,2020-07-21T00:00:00.000Z,20.16999474805329
1.438053097345127,2020-07-22T00:00:00.000Z,48.54613741286209
0.1845482761513306,2020-07-23T00:00:00.000Z,375.9377188826762
1.959306706857578,2020-07-24T00:00:00.000Z,35.72261851728408
-2.7346637102734768,2020-07-25T00:00:00.000Z,-24.99853118549193
0.2195204322863908,2020-07-26T00:00:00.000Z,316.1016471812869
1.474304970513907,2020-07-27T00:00:00.000Z,47.36091126498238
