priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
month6,אזרביג'אן,כתום,2,4260,40,0.94,
month6,הונג קונג,צהוב,3,448,2,0.45,
month6,מונקו,כתום,2,109,4,3.67,
month6,ברוניי,כתום,2,1,0,0,
month6,לסוטו,כתום,2,15,0,0,
month6,מקסיקו,כתום,2,1159,23,1.98,
month6,איי קיימן,כתום,2,2,0,0,
month6,אוסטרליה,כתום,2,1050,2,0.19,
month6,מדגסקר,כתום,2,7,0,0,
month6,סט. לוציה,כתום,2,1,0,0,
month6,בחריין,צהוב,3,304,0,0,
month6,ליכטנשטיין,כתום,2,1,0,0,
month6,אלגיריה,כתום,2,10,0,0,
month6,גיברלטר,כתום,2,110,1,0.91,
month6,ארמניה,כתום,2,1256,16,1.27,
month6,אורגוואי,צהוב,3,453,3,0.66,
month6,גאנה,כתום,2,668,7,1.05,
month6,גרמניה,כתום,2,68056,174,0.26,
month6,צ'ילה,כתום,2,257,0,0,
month6,קיריבטי,כתום,2,5,0,0,
month6,סורינם,כתום,2,4,0,0,
month6,גויאנה,כתום,2,9,0,0,
month6,טוגו,כתום,2,84,0,0,
month6,אבחזיסטאן,כתום,2,60,1,1.67,
month6,אוגנדה,כתום,2,371,6,1.62,
month6,דומיניקה,כתום,2,44,0,0,
month6,טובלו,כתום,2,3,0,0,
month6,ניגריה,כתום,2,840,5,0.6,
month6,מלאווי,כתום,2,213,0,0,
month6,בורונדי,כתום,2,10,0,0,
month6,אוזבקיסטן,כתום,2,2735,105,3.84,
month6,פרו,כתום,2,893,18,2.02,
month6,סלובקיה,כתום,2,1516,4,0.26,
month6,תאילנד,כתום,2,7176,17,0.24,
month6,ארצות הברית,כתום,2,301657,1840,0.61,
month6,איטליה,צהוב,3,61290,149,0.24,
month6,קמבודיה,כתום,2,18,0,0,
month6,קולומביה,כתום,2,906,7,0.77,
month6,הונגריה,כתום,2,40505,221,0.55,
month6,מקאו,כתום,2,19,0,0,
month6,תורכיה,כתום,2,103675,1434,1.38,
month6,אפגניסטן,כתום,2,7,0,0,
month6,ליבריה,כתום,2,24,0,0,
month6,פינלנד,כתום,2,2693,8,0.3,
month6,מרוקו,כתום,2,2844,60,2.11,
month6,רוסיה,כתום,2,29819,365,1.22,
month6,קרואטיה,כתום,2,2568,39,1.52,
month6,אוסטריה,צהוב,3,63203,239,0.38,
month6,עירק,כתום,2,105,1,0.95,
month6,סרביה,כתום,2,5160,44,0.85,
